Attr1,Attr2,Attr3,Attr4,Attr5,Attr6,Attr7,Attr8,Attr9,Attr10,Attr11,Attr12,Attr13,Attr14,Attr15,Attr16,Attr17,Attr18,Attr19,Attr20,Attr21,Attr22,Attr23,Attr24,Attr25,Attr26,Attr27,Attr28,Attr29,Attr30,Attr31,Attr32,Attr33,Attr34,Attr35,Attr36,Attr37,Attr38,Attr39,Attr40,Attr41,Attr42,Attr43,Attr44,Attr45,Attr46,Attr47,Attr48,Attr49,Attr50,Attr51,Attr52,Attr53,Attr54,Attr55,Attr56,Attr57,Attr58,Attr59,Attr60,Attr61,Attr62,Attr63,Attr64,Type,Label,Narrative
0.060799,0.70294,0.11119,1.2743,134.59,0.0,0.079783,0.4226,2.5249,0.29706,0.083045,0.19678,0.039319,0.079783,2584.4,0.14123,1.4226,0.079783,0.031598,4.2851,1.5852,0.06059,0.02408,0.22879,0.24672,0.11422,18.572,0.23004,4.3644,0.22476,0.031598,63.998,6.08,3.5068,0.21256,2.5249,1.6407,0.59387,0.084186,0.33878,0.29259,0.023997,54.829,50.543,2.0511,1.2011,4.3891,0.041097,0.016277,0.73496,0.40544,0.16447,0.61457,1.2286,2573.1,0.084186,0.20467,0.9776,0.99916,85.179,7.2215,58.61,6.2276,5.2236,train,0,Attr26. Attr27. Attr34
0.053073,0.62529,0.15933,1.2548,19.262,0.0,0.065468,0.59925,2.3334,0.37471,0.070095,0.1047,0.037965,0.065468,2576.4,0.14167,1.5993,0.065468,0.028057,6.1327,3.88499717247538,0.070093,0.022745,0.065468,0.2666,0.12185,15.149,0.73974,2.6651,0.25022,0.028057,100.84,3.6196,3.6196,0.070082,2.3334,105.08536259698622,0.37471,0.030034,0.066692,0.22361,0.030039,116.21,110.08,1.3537,1.1921,6.3226,0.046974,0.020131,1.2548,0.62529,0.27627,1.7397,1.7397,73.691,0.030034,0.14164,0.97194,0.0,59.517,3.3158,97.812,3.7317,10.834,train,0,Attr26. Attr27. Attr34
-0.19472,0.78783,-0.1952,0.75223,-93.457,-0.19472,-0.19472,0.26926,0.91078,0.21213,-0.19472,-0.24715,-0.1006,-0.19472,-1698.4,-0.2149,1.2693,-0.19472,-0.1157,59.852,3.88499717247538,-0.16883,-0.1157,-0.19472,0.21213,-0.2149,1107.8963143091858,-0.47917,3.9052,0.44935,-0.1157,155.62,2.3454,-0.2143,-0.16883,1.6861,105.08536259698622,0.21213,-0.10032,0.042568,-0.18059,-0.10032,121.26,61.404,-0.70557,0.40194,54.512,-0.19424,-0.11542,0.75223,0.78783,0.42636,0.52074,0.52074,-1569.3,-0.097957,-0.9179,1.098,0.0,6.0984,5.9442,170.86,2.1362,4.1313,train,1,Attr27
0.025356,0.47327,0.023844,1.1525,-68.535,-0.15638,0.016743,1.113,0.5985,0.52673,0.047961,0.10707,0.068202,0.016743,4231.9,0.08625,2.113,0.016743,0.027974,74.272,3.88499717247538,0.047819,0.042366,0.016743,0.42615,0.10445,1.5318,0.029086,4.2974,0.77328,0.077366,102.91,3.6018,1.19,0.043885,0.5985,0.27901,0.73613,0.073325,0.086419,0.21942,0.079898,101.66,27.389,0.2082,0.37363,78.927,0.023743,0.03967,0.38078,0.15637,0.27764,0.64252,0.89795,1.1525,0.073325,0.048138,0.97261,0.39754,4.9144,13.327,95.361,3.8276,0.73007,train,0,Attr26. Attr27. Attr34
0.60842,0.20142,0.12681,1.7501,8.5513,0.0,0.60842,3.9649,8.4007,0.79858,0.61395,3.5991,0.081466,0.60842,107.42,3.3978,4.9649,0.60842,0.072425,4.5838,0.86953,0.61395,0.072425,1.8959,0.60842,3.3978,110.99,0.18009,2.8761,0.011401,0.072984,7.889,46.267,38.832,0.5794,8.4007,5.8809,0.83095,0.06897,0.67616,0.0097316,0.073083,7.8882,3.3044,5.7671,1.1261,4.9233,0.538,0.064042,1.4689,0.16905,0.021614,1.1341,1.1801,95.343,0.06897,0.76188,0.93169,0.040533,79.629,110.46,7.3449,49.695,11.93,train,0,Attr26. Attr27. Attr34
-0.3755,0.072009,0.63305,12.005,148.33,0.0,-0.3755,12.887,0.80358,0.92799,-0.37457,-6.5277,-0.3968,-0.3755,-82.429,-4.428,13.887,-0.3755,-0.46728,67.989,0.79827,-0.42176,-0.46728,-0.44529,0.83115,-4.428,-453.65,2.0459,2.889,-0.4274,-0.46613,17.963,21.318,17.03,-0.36527,0.80358,105.08536259698622,0.92799,-0.45456,7.247,-0.006574,-0.52485,124.32,56.327,-2.5086,9.4028,44.552,-0.4784,-0.59534,9.59,0.057524,0.046908,2.9991,2.9991,490.26,-0.45456,-0.40464,1.5272,0.0,5.3685,6.48,26.128,13.969,2.597,train,1,Attr26. Attr27. Attr34
0.089671,0.129,0.2303,2.7854,94.807,0.61498,0.10061,5.386,1.0739,0.69476,0.10061,0.77995,0.21438,0.10061,211.63,1.7247,7.7522,0.10061,0.09695,2.4898,0.9763,0.071031,0.086408,0.7575,0.69476,1.6399,0.73501,0.35946,5.3841,0.12024,0.09695,48.721,7.4916,0.55064,0.071031,1.0698,105.08536259698622,0.69476,0.068446,0.039045,0.021985,0.068446,124.6,122.11,12.667,2.7305,2.6737,-0.050836,-0.048986,2.7854,0.129,0.13348,1.0844,1.0844,55769.0,0.068776,0.12907,0.93122,0.0,146.6,2.9891,45.37,8.0449,1.6197,train,0,Attr26. Attr27. Attr34
-0.015454,0.29223,0.072596,1.4197,-40.132,0.0,-0.015454,2.4219,0.75916,0.70777,-0.007612,-0.089346,0.019544,-0.015454,7189.0,0.050772,3.4219,-0.015454,-0.020357,65.486,1.0724,-0.009558,-0.020357,0.086274,-0.015074,0.050772,-1.2187,0.096226,4.0345,0.38494,-0.010057,82.069,4.4475,2.6324,-0.010125,0.75916,0.91699,0.82703,-0.013337,0.10854,0.46981,-0.01259,109.04,43.555,-0.11346,0.63227,64.624,-0.039849,-0.052491,0.84031,0.17297,0.22485,0.93814,1.0962,785.98,-0.013337,-0.021835,1.0202,0.16851,5.5737,8.3802,83.164,4.3889,1.0063,train,0,Attr26. Attr27. Attr34
-0.1359,0.83954,-0.34201,0.46526,-145.31,-0.21912,-0.13186,0.19113,1.0999,0.16046,-0.096703,-0.20616,-0.11988,-0.13186,-2324.0,-0.15706,1.1911,-0.13186,-0.11988,58.179,3.88499717247538,-0.097358,-0.12355,-0.13186,-0.27583,-0.16187,-2.7694,-0.48689,4.0926,0.75607,-0.091884,247.97,2.0074,1.5293,-0.11117,1.1871,0.93568,0.2911,-0.10107,0.01377,-0.28744,-0.088512,95.821,37.642,-0.77512,0.2879,49.844,-0.097358,-0.088512,0.35444,0.63957,0.49816,0.22843,0.41442,-4233.0,0.14412,-0.84693,0.85427,0.8142,6.2737,9.6966,212.23,1.7198,1.5659,train,1,Attr26. Attr27. Attr34
0.066584,0.76668,-0.041304,0.92329,-144.49,0.0,0.083161,0.30432,1.1933,0.23332,0.10084,0.15444,0.087983,0.083161,2665.5,0.13694,1.3043,0.083161,0.069692,122.03,3.88499717247538,0.078326,0.0558,0.083161,0.15831,0.11532,4.4297,-0.082143,3.8597,0.6028,0.08451,175.09,2.0847,1.4641,0.070728,1.1933,0.43274,0.46028,0.059273,0.090816,0.25517,0.06564,137.12,15.085,0.1669,0.1824,129.72,0.0565,0.047349,0.64847,0.53847,0.47969,0.46401,0.91538,-299.0,0.059273,0.28538,0.9328,0.97276,2.991,24.196,164.71,2.216,2.3731,train,0,Attr26. Attr27. Attr34
