Customer_Age,Dependent_count,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Gender=F,Gender=M,Education_Level=College,Education_Level=Doctorate,Education_Level=Graduate,Education_Level=High School,Education_Level=Post-Graduate,Education_Level=Uneducated,Education_Level=Unknown,Marital_Status=Divorced,Marital_Status=Married,Marital_Status=Single,Marital_Status=Unknown,Income_Category=40K - 60K,Income_Category=60K - 80K,Income_Category=80K - 120K,Income_Category=Less than 40K,Income_Category=More than 120K,Income_Category=Unknown,Card_Category=Blue,Card_Category=Gold,Card_Category=Platinum,Card_Category=Silver,Type,Label,Narrative
47,4,40,2,2,3,2725.0,1851,874.0,0.687,4904,85,0.7,0.679,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,train,0,Total_Trans_Amt. Total_Trans_Ct
57,4,38,6,6,2,19802.0,1961,17841.0,1.125,2244,58,0.706,0.099,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,train,0,Total_Relationship_Count. Total_Revolving_Bal. Total_Trans_Amt. Total_Trans_Ct
43,5,36,5,3,4,2689.0,2384,305.0,0.365,1941,53,0.656,0.887,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,train,1,Total_Relationship_Count. Total_Revolving_Bal. Total_Trans_Amt. Total_Trans_Ct
53,4,43,1,3,2,6058.0,0,6058.0,0.997,4754,60,0.463,0.0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,train,1,Total_Revolving_Bal. Total_Trans_Ct
55,1,39,1,3,3,12972.0,1424,11548.0,0.525,2238,36,0.2,0.11,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,train,1,Total_Relationship_Count. Total_Revolving_Bal. Total_Trans_Ct
38,1,36,4,2,2,2358.0,1965,393.0,0.614,4922,80,0.6,0.833,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,train,0,Total_Trans_Amt. Total_Trans_Ct
44,4,36,6,2,2,3979.0,780,3199.0,0.873,5024,69,0.769,0.196,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,train,0,Total_Trans_Amt. Total_Trans_Ct
43,3,31,6,3,4,6824.0,2517,4307.0,0.972,9045,67,0.595,0.369,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,train,1,Total_Trans_Amt. Total_Trans_Ct
46,3,39,4,3,3,9110.0,2517,6593.0,1.052,5290,69,0.816,0.276,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,train,1,Total_Trans_Amt. Total_Trans_Ct
48,2,35,2,4,4,34516.0,0,34516.0,0.763,691,15,0.5,0.0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,train,1,Total_Revolving_Bal. Total_Trans_Ct
38,2,36,6,2,3,3782.0,0,3782.0,0.717,14977,117,0.721,0.0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,train,0,Total_Trans_Amt. Total_Trans_Ct
31,0,20,4,3,4,4712.0,955,3757.0,0.855,2568,62,0.59,0.203,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,train,0,Total_Trans_Amt. Total_Trans_Ct
47,3,36,5,3,4,7246.0,0,7246.0,0.612,777,13,0.625,0.0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,train,1,Total_Revolving_Bal. Total_Trans_Ct
41,3,32,1,2,4,26229.0,0,26229.0,0.504,2077,46,0.643,0.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,train,1,Total_Revolving_Bal. Total_Trans_Ct
51,3,36,6,3,3,3610.0,1554,2056.0,0.501,2216,34,0.308,0.43,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,train,1,Total_Relationship_Count. Total_Revolving_Bal. Total_Trans_Amt. Total_Trans_Ct
60,1,54,1,2,1,3618.0,972,2646.0,0.578,4228,63,0.465,0.269,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,train,0,Total_Trans_Amt. Total_Trans_Ct
32,2,17,5,1,2,1438.3,1228,210.3,1.132,2580,67,0.971,0.854,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,train,0,Total_Trans_Amt. Total_Trans_Ct
47,2,37,4,3,2,2168.0,1485,683.0,0.546,3828,86,0.72,0.685,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,train,0,Total_Trans_Amt. Total_Trans_Ct
45,2,38,6,2,3,3120.0,2517,603.0,0.736,2468,43,0.536,0.807,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,train,1,Total_Relationship_Count. Total_Revolving_Bal. Total_Trans_Amt. Total_Trans_Ct
42,2,29,3,3,1,4710.0,1604,3106.0,0.607,4663,78,0.814,0.341,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,train,0,Total_Trans_Amt. Total_Trans_Ct
