Feature0,Feature1,Feature2,Feature3,Feature4,Label,Type,Narrative
0.777643589,-0.258669599,-1.341671949,3.712164923,-1.231082355,0,,Feature4 is low. Feature3 is high. Feature0 is high.
-0.270072205,-1.170806617,-1.105652659,2.634619318,-1.124217799,0,,Feature4 is low. Feature3 is high. Feature0 is high.
-1.725822647,0.523695142,0.976636351,1.476416905,-3.269520261,1,,Feature4 is low. Feature3 is high. Feature0 is low.
3.36309626,0.948519581,0.924865967,-0.90514316,1.30579951,1,,Feature4 is high.
-0.445171056,0.74803371,1.30292579,1.6341867,-2.094051085,0,,Feature4 is low. Feature3 is high. Feature0 is high.
4.810436129,0.568673855,1.669619416,-0.395179566,0.634806037,0,,Feature4 is low. Feature3 is high. Feature0 is high.
-1.283058552,-2.152543399,-0.607064153,3.004685017,0.844430656,1,,Feature4 is low. Feature3 is high. Feature0 is low.
0.925583588,-2.263157523,-0.821671258,-0.269688754,-0.310712537,0,,Feature4 is low. Feature3 is high. Feature0 is high.
0.39034766,-3.313594395,0.857068659,-1.233233826,1.528951093,1,,Feature4 is high.
1.074828904,0.772418841,-0.422762778,-1.278655076,-1.263653022,1,,Feature4 is low. Feature3 is low.
0.93725148,-0.638479631,2.342500614,-0.334926102,-1.813716369,0,,Feature4 is low. Feature3 is high. Feature0 is high.
-0.355247709,-1.714945556,3.266937322,2.090341311,2.304402412,1,,Feature4 is high.
2.497768181,1.761635724,-0.916897358,0.360813393,0.217611878,0,,Feature4 is low. Feature3 is high. Feature0 is high.
3.023921527,-3.442102946,0.024909325,-5.39443212,0.055796887,1,,Feature4 is low. Feature3 is low.
2.041827044,-3.122540703,1.122898099,-2.339952689,0.829277523,1,,Feature4 is low. Feature3 is low.
0.422021479,-0.233732266,2.857462068,2.607195766,1.852435922,1,,Feature4 is high.
-0.230371069,1.544037051,-2.863592872,0.35057647,-1.638281961,0,,Feature4 is low. Feature3 is high. Feature0 is high.
1.169019374,-0.216560158,-2.406081899,2.169567869,-1.919530533,0,,Feature4 is low. Feature3 is high. Feature0 is high.
0.63431812,-0.845578817,-1.376522728,0.236043623,-0.721280852,0,,Feature4 is low. Feature3 is high. Feature0 is high.
-0.600314245,0.611652403,1.466982318,1.096270684,-1.63754933,0,,Feature4 is low. Feature3 is high. Feature0 is high.
-0.603814972,-1.808577291,2.564157922,1.455332539,2.142197402,1,,Feature4 is high.
0.955799263,-0.538679395,0.7556888,1.844065625,0.004068844,0,,Feature4 is low. Feature3 is high. Feature0 is high.
