Feature0,Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,Feature8,Feature9,Label,Type,Narrative
-1.17279756,2.717718267,-1.276346243,-0.375398614,0.972440075,0.015915075,0.504255187,-0.507796637,0.165686825,-3.543401894,1,,Feature7. Feature3. Feature1
-0.949304382,-2.395433868,1.006526721,-2.502044345,0.846931109,-2.563947991,1.615779635,-1.52471446,-0.714427812,1.87072424,1,,Feature6
-0.793306728,-1.075291616,-3.755046786,2.676626938,-3.371197705,-1.982315579,0.099621393,1.771572857,-0.698086704,-0.702394016,1,,Feature7. Feature3. Feature1
-1.225973611,-0.179670173,-1.156395689,-1.846420778,0.545464962,-1.66282463,3.369987507,-4.151555863,0.497497182,0.200926579,1,,Feature7
-2.215988989,2.098684458,-0.361778481,1.604903643,1.87572785,0.211121361,1.083720974,-2.004219285,1.341305244,-1.492358362,1,,Feature7
0.405388306,-2.292219952,-0.345515494,1.300326925,0.045288397,-0.171359354,-1.555753235,-2.265214761,-2.448273345,-1.328064293,1,,Feature7
-0.295732806,0.669480854,-2.646392451,3.064010993,-4.609138956,-1.11572821,1.206064278,-0.874787496,-0.864344852,-0.907937185,1,,Feature7. Feature3. Feature1
-0.165100419,-0.981612522,-0.604060887,-3.826983043,1.181670355,-1.26831202,3.12047108,-2.622607799,0.268565247,1.316812574,1,,Feature6
-0.20159264,3.32203163,0.453505262,-1.214520181,-2.109753506,-0.137946805,-2.353042883,3.800356591,0.532236211,-1.155221513,1,,Feature7. Feature3. Feature1
-3.825509976,3.406451682,0.308701744,-0.689888681,0.751647821,0.111320026,-1.707515206,-3.222247918,0.073527612,-0.47118069,1,,Feature7
-0.934299898,0.091900621,0.06147505,1.377449071,2.616932204,1.509168684,-0.134751247,1.137871973,-1.116831954,-2.77029159,1,,Feature7. Feature3. Feature1
2.200078603,3.881907183,1.070026304,-0.149557537,2.556900498,4.555253838,-1.711309914,-2.983599235,-0.715253415,-1.480666704,1,,Feature7
1.413837594,-3.89353656,0.929980878,-1.012974218,0.715688587,-0.308160305,1.873455679,-2.700572351,-1.580016927,0.057441712,1,,Feature7
-1.34098,0.728006151,-3.180856613,0.86302821,4.09103741,0.98203784,-0.264029239,0.371211245,0.170095928,-3.267812468,1,,Feature7. Feature3. Feature1
1.41655837,0.243864784,1.070550728,1.16134347,-0.0924485,-0.202373672,1.027630991,-2.649508688,-2.048062544,2.798048356,1,,Feature6
-1.342136254,0.905669628,-1.155635404,-1.31314043,1.464399717,2.79940333,-0.692739871,0.776178656,-0.505116753,-0.001144066,1,,Feature7. Feature3. Feature1
-0.504874636,-0.708489056,4.042517964,-0.974546459,0.939411058,-0.939451902,-2.635199878,-0.715766944,-2.574046601,-3.873004107,1,,Feature7. Feature3. Feature1
-0.402799136,-2.63031023,-1.152497428,3.450027852,-0.061397109,-2.134548996,-0.568956777,-4.16800958,-3.133627464,-3.881615017,1,,Feature7
1.557447233,0.496188134,-1.944524013,1.672144955,-0.511750051,0.204071378,-0.352863162,-1.89314872,0.068386722,-0.708575907,1,,Feature7
0.437875819,0.214142986,-0.065873234,4.198711124,0.998079476,1.261310174,-2.603300871,0.677587192,1.663678849,-0.302132,1,,Feature7. Feature3. Feature1
0.27352164,0.331991695,-3.599009275,1.724094396,-1.246754827,0.003167492,-0.323742791,1.732388402,0.324397668,-1.290239313,1,,Feature7. Feature3. Feature1
-3.185675472,-0.509538903,-1.154670424,-0.323968688,4.198977132,0.096577662,-3.51234917,2.31096226,1.483675532,-1.774777136,1,,Feature7. Feature3. Feature1
0.184025568,0.347447908,-0.520125825,-0.027773059,-1.316596035,-0.845076942,-1.833081956,-0.106313322,-0.145564181,-1.293075535,1,,Feature7. Feature3. Feature1
-0.17043546,-0.762674968,-0.698460444,0.786135023,-1.4076861,-0.429166262,-0.39263756,0.908704018,-1.581946174,-1.68398804,1,,Feature7. Feature3. Feature1
-0.337263583,1.042888534,-0.576193096,2.209389336,-1.866950296,0.298415551,0.256035372,-1.089796571,-1.390444547,-0.947580888,1,,Feature7. Feature3. Feature1
2.792783475,5.613790523,-1.584207813,0.551320231,-0.629925121,4.382565663,-0.79624468,-1.019414711,-0.060050612,-1.929990815,1,,Feature7. Feature3. Feature1
1.233690915,0.668268153,2.464598059,-1.068125549,2.76248128,1.359668835,-3.829564884,-2.080820053,-2.441307464,-4.22788812,1,,Feature7
-0.034283279,-4.627171219,1.218794463,-0.043746291,0.446231622,-2.294211854,-5.581253968,-3.981815432,-3.800954042,-2.249374816,1,,Feature7
-1.476404832,-0.773754685,0.614704076,-0.497789902,1.018510701,0.351756975,2.014488322,-2.151788712,-2.603290478,-1.579119633,1,,Feature7
1.509925966,2.98887403,-1.994266415,3.137762858,-0.661944187,2.65420169,0.223762793,-3.625335903,-2.183235456,-2.048519644,1,,Feature7
2.018402409,0.867525363,-2.011648325,-1.23130062,0.436071481,-0.754448528,4.469018985,-2.540399941,-4.736504178,-1.560583879,1,,Feature7
0.191263886,0.617288887,2.192971445,-0.880755702,2.107191422,1.932311867,1.579626596,0.319797989,-3.428246888,-3.816982065,1,,Feature7. Feature3. Feature1
2.327664119,-0.048947453,0.735254747,1.080316944,0.7515974,2.322323293,-1.986451676,-5.401081037,-3.533661054,-1.805503493,1,,Feature7
1.153183342,-1.829817922,0.979669065,-1.741988881,-0.361475238,-2.734250676,1.535278562,3.653030894,-3.517436062,0.662434869,1,,Feature6
-0.266859609,0.163964825,-1.189948191,0.294201127,-3.511872579,-0.958787055,-2.588005367,0.742288282,-1.022664031,-0.197001348,1,,Feature7. Feature3. Feature1
0.248928439,0.934975851,1.471003675,0.835906253,1.611065077,1.910550392,-2.111070297,-3.482707312,-1.551560799,-0.827882616,1,,Feature7
0.33166591,0.833300638,-2.102677661,1.192886761,-0.243884315,-0.000563483,-1.913751602,-0.621563177,0.512748455,-1.979306547,1,,Feature7. Feature3. Feature1
1.091176851,2.17892648,-2.889267617,3.711088361,0.401936923,2.017586285,0.110950102,-3.430344167,-1.583098269,-2.359843445,1,,Feature7
1.516019319,-0.560813958,-2.894578512,1.201633121,1.294627406,0.09951748,1.650696449,-0.390484138,-3.046091373,-0.359468402,1,,Feature7. Feature3. Feature1
0.959759,-1.090017959,-0.242660347,2.084148518,-0.076229794,-1.122172316,1.044972844,-1.242561287,0.049596637,1.647665957,1,,Feature6
3.237413828,-1.612063459,-0.550507911,-0.145730767,-1.148212814,2.657513477,-2.376071105,-3.527962606,-3.593070199,0.24664948,1,,Feature7
-0.532993702,1.911708268,2.378590042,-1.270040131,-0.354973006,0.076559732,0.868804306,-1.149970673,-1.421244888,0.481339751,1,,Feature6
0.964461262,-0.108153523,0.514520677,-2.408831435,-1.991018705,-1.443067696,2.49043469,-1.814697809,-2.119808315,0.936521628,1,,Feature6
-0.81231652,-1.503632477,1.990983858,-0.997231526,-2.166121887,-1.82839528,-1.588952991,1.703631068,-1.763723288,-1.554934947,1,,Feature7. Feature3. Feature1
0.749542104,2.251404971,-2.04730384,2.609495589,-1.316402055,2.438569103,-0.343886676,-2.434958682,-1.503389169,-1.506651671,1,,Feature7
-1.483685548,-0.755094023,-4.849226344,0.658343374,2.32255318,-0.7249353,-2.079578892,2.029952417,-1.664083565,-3.518211142,1,,Feature7. Feature3. Feature1
0.39745727,2.680055298,-0.950787959,3.462809386,-0.645860928,3.593943535,0.764059788,-4.133925747,-2.807264862,-2.011258148,1,,Feature7
-0.306585221,-1.171757324,0.016190364,-0.82794729,2.424893017,1.686900032,-2.143997714,0.171563987,-2.428675421,-1.909931156,1,,Feature7. Feature3. Feature1
1.406947323,2.45996846,-2.947800258,2.470062841,-2.977719138,2.869201654,2.49857916,-0.260664641,-0.059801714,1.639472267,1,,Feature6
0.820743053,2.565677197,-3.165206287,2.866459496,0.305122877,1.583892775,-0.995899269,-2.679265086,-0.707593092,-2.600370952,1,,Feature7
0.036041448,0.536618242,-2.302641857,5.332077767,-0.893836757,1.988937375,2.268365755,-6.306589762,-1.497719317,-0.574120781,1,,Feature7
-0.156314996,3.191350844,-0.992031621,1.865694218,-0.990143952,0.152260556,1.335934149,0.68378794,0.977286164,-0.858874585,1,,Feature7. Feature3. Feature1
1.714105146,-0.063359004,-1.548596904,-1.327996395,0.412610067,-2.956162432,-1.740265384,-0.701484394,-0.934045289,-0.624465207,1,,Feature7. Feature3. Feature1
-1.031135843,1.18635942,-4.687612438,0.810538318,1.373490113,-0.463285314,0.954015899,-1.03784806,-1.546015631,-2.631118003,1,,Feature7. Feature3. Feature1
-3.889217542,-1.121118244,-3.181809502,-0.32053231,4.281394707,0.711461274,-4.701886606,-1.198536822,0.22780882,-2.814556773,1,,Feature7. Feature3. Feature1
0.013979286,-3.015339266,-0.990256732,-0.174907888,2.560696427,-0.447762263,1.243843055,-2.353139377,0.045774016,0.167307096,1,,Feature7
-0.58573295,1.25098763,-1.708252952,0.136084477,-2.526909668,-2.521842852,-1.234481556,3.524362077,1.256187351,-2.42317257,1,,Feature7. Feature3. Feature1
-3.428000429,-1.169065493,-0.837746399,0.831921511,3.377163542,-0.65709845,0.129713927,1.268224327,-0.798169102,-0.403032773,1,,Feature7. Feature3. Feature1
-1.435020193,-1.420776052,-0.979172264,-0.95293512,1.789268783,0.530641831,-1.048281621,0.222703919,-2.129930314,-2.272489895,1,,Feature7. Feature3. Feature1
-1.755261644,1.366190986,-3.06207474,0.932551962,2.501859796,-0.451602973,1.909213674,-0.878291517,-2.321463409,-2.455929245,1,,Feature7. Feature3. Feature1
-2.37483693,-0.36522116,1.272692559,1.012109459,4.783129861,1.858298023,1.155990532,-0.693947746,-0.075085835,-2.463790081,1,,Feature7. Feature3. Feature1
1.032308667,-1.27855651,1.364668186,-0.17876172,-1.869109724,-0.219105118,1.507792453,-1.697468515,-2.321326859,-0.564708393,1,,Feature7. Feature3. Feature1
-2.592802,-0.525586164,-0.947808417,-0.101263311,0.622120496,-1.108029313,-1.564495775,0.065202555,0.819873031,-1.915261431,1,,Feature7. Feature3. Feature1
1.475784142,0.703992586,0.777536383,0.822567646,2.076248595,0.540892838,-0.067217797,1.457270067,0.835495646,-0.759545251,1,,Feature7. Feature3. Feature1
-1.174402415,-0.053545116,-1.870257302,-0.851249498,-3.459702382,-3.712528717,0.834334509,-2.627725669,1.022802558,2.343253525,1,,Feature6
-1.040858734,-3.346301476,-2.165944662,0.57182088,-1.023430626,2.362983051,1.182858325,2.527007105,-1.48578851,1.309246694,1,,Feature6
1.620046665,-0.718921632,0.064162382,-1.287673335,0.314888822,2.414147275,1.383579048,1.986139149,-4.859841239,1.63742482,1,,Feature6
